"Class","FriendlyName","InstanceId","Status","DriverVersion"
"System","Enumerador de unidades virtuales de Microsoft","ROOT\VDRVROOT\0000","OK","10.0.26100.1591"
"Firmware","Firmware de dispositivo","UEFI\RES_{832AF090-2EF9-7C47-8F6D-B405C8C7F156}\0","OK","10.0.26100.4768"
"Battery","Adaptador de CA de Microsoft","ACPI\ACPI0003\2&DABA3FF&0","OK","10.0.26100.9278"
"SCSIAdapter","Controladora de espacios de almacenamiento de Microsoft","ROOT\SPACEPORT\0000","OK","10.0.26100.9444"
"System","Intel(R) Host Bridge/DRAM Registers - 4617","PCI\VEN_8086&DEV_4617&SUBSYS_380417AA&REV_00\3&11583659&0&00","OK","10.1.45.9"
"Firmware","Firmware de dispositivo","UEFI\RES_{993BD1CE-03D4-7747-8565-7EBB67B714FE}\0","OK","10.0.26100.4768"
"System","Controlador de la plataforma de tecnolog?a de monitorizaci?n de Intel(R)","PCI\VEN_8086&DEV_467D&SUBSYS_381F17AA&REV_01\3&11583659&0&50","OK","10.0.26100.8972"
"Firmware","Firmware de dispositivo","UEFI\RES_{479BA771-31E0-26BD-DDF1-2CB756B7C1A4}\0","OK","10.0.26100.4768"
"SoftwareComponent","Intel(R) iCLS Client","SWD\DRIVERENUM\OEM_ES_COMPONENT&4&333F5F22&0","OK","1.71.99.0"
,"Intel Tile Device","{2F2B7B01-597A-434C-8DD6-D27CD46EF73C}\INTELTILEDEVICE\6&3662BD4F&0","OK","23.170.0.3"
"AudioEndpoint","Varios micr?fonos (Realtek(R) Audio)","SWD\MMDEVAPI\{0.0.1.00000000}.{7ECA148C-A46B-4166-8DE5-E1762E8ACA95}","OK","10.0.26100.1"
"Net","Microsoft Kernel Debug Network Adapter","ROOT\KDNIC\0000","OK","10.0.26100.8521"
"VolumeSnapshot","Instant?nea de volumen gen?rico","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT1","OK","10.0.26100.1"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\0","OK","10.0.26100.9278"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\1","OK","10.0.26100.9278"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\2","OK","10.0.26100.9278"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\3","OK","10.0.26100.9278"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\4","OK","10.0.26100.9278"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\5","OK","10.0.26100.9278"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\6","OK","10.0.26100.9278"
"Processor","Intel(R) Core(TM) i3-N305","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_190_-_INTEL(R)_CORE(TM)_I3-N305\7","OK","10.0.26100.9278"
"System","Tapa ACPI","ACPI\PNP0C0D\2&DABA3FF&0","OK","10.0.26100.1150"
"Monitor","Integrated Monitor","DISPLAY\LEN9051\4&22B5CD1&0&UID8388688","OK","10.0.26100.9278"
"System","Recursos de la placa base","ACPI\INTC1099\4&1C9D9F6E&0","OK","10.0.26100.1150"
"System","Interfaz de administraci?n para ACPI de Microsoft Windows","ACPI\PNP0C14\LSK20","OK","10.0.26100.1150"
"AudioProcessingObject","DolbyAPO SWC Device","SWD\DRIVERENUM\{D0323E1C-CF9C-4A95-A94D-F1F5D17D3145}#DOLBYAPO_DAX3APOSVC&5&666691A&0","OK","3.30810.886.0"
"System"," SPI (flash) Controller - 54A4","PCI\VEN_8086&DEV_54A4&SUBSYS_381517AA&REV_00\3&11583659&0&FD","OK","10.1.50.7"
"System","Intel(R) Management Engine Interface #1","PCI\VEN_8086&DEV_54E0&SUBSYS_380D17AA&REV_00\3&11583659&0&B0","OK","2345.5.3.0"
"System","Enumerador de bus ra?z de UMBus","ROOT\UMBUS\0000","OK","10.0.26100.1150"
"System","Controlador de arbitraje de carga","ROOT\CAD\0000","OK","10.0.26100.8972"
"SoftwareDevice","Wi-Fi","SWD\RADIO\{4B82BFAB-D08F-49DB-AB9F-7E029AE4A089}","OK","10.0.26100.1"
"USBDevice","APP Mode","USB\VID_5986&PID_215F&MI_02\6&164A69C3&0&0002","OK","10.0.26100.9444"
"Volume","Volumen","STORAGE\VOLUME\{9875C86C-ACF0-11F1-9051-806E6F6E6963}#000000000D900000","OK","10.0.26100.5074"
"SecurityDevices","M?dulo de plataforma segura 2.0","ACPI\INTC6001\2&DABA3FF&0","OK","10.0.26100.8972"
"DiskDrive","SKHynix_HFS512GEJ4X112N","SCSI\DISK&VEN_NVME&PROD_SKHYNIX_HFS512GE\5&33F5F8EF&0&000000","OK","10.0.26100.8972"
"SoftwareDevice","Microsoft Radio Device Enumeration Bus","SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}","OK","10.0.26100.1"
"System","Intel(R) Serial IO I2C Host Controller - 54E9","PCI\VEN_8086&DEV_54E9&SUBSYS_380A17AA&REV_00\3&11583659&0&A9","OK","30.100.2229.4"
"SoftwareDevice","Microsoft Device Association Root Enumerator","SWD\MSDAS\{CE958E9A-424F-4C88-86F4-11314821E75A}","OK","10.0.26100.1"
"Computer","Equipo basado en x64 ACPI","ROOT\ACPI_HAL\0000","OK","10.0.26100.1"
"Volume","Volumen","STORAGE\VOLUME\{9875C86C-ACF0-11F1-9051-806E6F6E6963}#0000003B9C000000","OK","10.0.26100.5074"
"Net","WAN Miniport (Network Monitor)","SWD\MSRRAS\MS_NDISWANBH","OK","10.0.26100.1"
"Net","WAN Miniport (IP)","SWD\MSRRAS\MS_NDISWANIP","OK","10.0.26100.1"
"System","Interfaz de administraci?n para ACPI de Microsoft Windows","ACPI\PNP0C14\TESTDEV","OK","10.0.26100.1150"
"System","Complejo ra?z PCI Express","ACPI\PNP0A08\0","OK","10.0.26100.9278"
"System","Lenovo ACPI-Compliant Virtual Power Controller","ACPI\VPC2004\0","OK","15.11.30.14"
"System"," PCI Express Root Port #9 - 54B0","PCI\VEN_8086&DEV_54B0&SUBSYS_380117AA&REV_00\3&11583659&0&E8","OK","10.1.50.7"
"System","Bot?n de inicio/apagado ACPI","ACPI\PNP0C0C\2&DABA3FF&0","OK","10.0.26100.1150"
"System","Sistema Microsoft compatible con ACPI","ACPI_HAL\PNP0C08\0","OK","10.0.26100.9278"
,,"HTREE\ROOT\0","OK",
"AudioProcessingObject","DolbyAPO SWC Device","SWD\DRIVERENUM\{2C0454A3-AB52-4F33-8FD1-21140301103B}#DOLBYAPO_DAX3APOSVC&5&666691A&0","OK","3.30810.886.0"
"System","Controlador de representaci?n b?sica de Microsoft","ROOT\BASICRENDER\0000","OK","10.0.26100.8972"
"System","Controladora programable de interrupciones","ACPI\PNP0000\4&1C9D9F6E&0","OK","10.0.26100.1150"
"SoftwareComponent","Intel(R) Management Engine WMI Provider","SWD\DRIVERENUM\OEM_WMI_COMPONENT&4&333F5F22&0","OK","2338.5.1.0"
"Net","WAN Miniport (SSTP)","SWD\MSRRAS\MS_SSTPMINIPORT","OK","10.0.26100.1"
